Code,Registration Number,Year,Make,Model,VIN Number,Engine Number,Organization,Organization ID,Active
R1,A 838 BCF,2002,Ford,Ranger,AFAADGL05AR412419,WLAT786238,1PWR LESOTHO,1pwr_lesotho,Y
R1,A 838 BCF,2002,Ford,Ranger,AFAADGL05AR412419,WLAT786238,,neo1,Y
R1,A 838 BCF,2002,Ford,Ranger,AFAADGL05AR412419,WLAT786238,,pueco_lesotho,Y
R1,A 838 BCF,2002,Ford,Ranger,AFAADGL05AR412419,WLAT786238,,smp,Y
Surf 1,A 032 BDR,1992,Toyota,Surf,LN300106329,2L3023814,1PWR LESOTHO,1pwr_lesotho,Y
Surf 1,A 032 BDR,1992,Toyota,Surf,LN300106329,2L3023814,,neo1,Y
Surf 1,A 032 BDR,1992,Toyota,Surf,LN300106329,2L3023814,,pueco_lesotho,Y
Surf 1,A 032 BDR,1992,Toyota,Surf,LN300106329,2L3023814,,smp,Y
Surf 2,A 474 BFN,1997,Toyota,Surf,KZN1859021190,1KZ0525744,1PWR LESOTHO,1pwr_lesotho,Y
Surf 2,A 474 BFN,1997,Toyota,Surf,KZN1859021190,1KZ0525744,,neo1,Y
Surf 2,A 474 BFN,1997,Toyota,Surf,KZN1859021190,1KZ0525744,,pueco_lesotho,Y
Surf 2,A 474 BFN,1997,Toyota,Surf,KZN1859021190,1KZ0525744,,smp,Y
Telehandler,Telehandler,,,,,,,1pwr_lesotho,Y
Telehandler,Telehandler,,,,,,,neo1,Y
Telehandler,Telehandler,,,,,,,pueco_lesotho,Y
Telehandler,Telehandler,,,,,,,smp,Y
T3,22021189,2022,Tractor,CP244,JD25,52201170301,1PWR LESOTHO,1pwr_lesotho,Y
T3,22021189,2022,Tractor,CP244,JD25,52201170301,,neo1,Y
T3,22021189,2022,Tractor,CP244,JD25,52201170301,,pueco_lesotho,Y
T3,22021189,2022,Tractor,CP244,JD25,52201170301,,smp,Y
Trailer,Trailer,,,,,,,1pwr_lesotho,Y
Trailer,Trailer,,,,,,,neo1,Y
Trailer,Trailer,,,,,,,pueco_lesotho,Y
Trailer,Trailer,,,,,,,smp,Y
JMC,A 664 BFG,2015,JMC,Bakkie,LETEDCD17CHP50885,C8120213,1PWR LESOTHO,1pwr_lesotho,Y
JMC,A 664 BFG,2015,JMC,Bakkie,LETEDCD17CHP50885,C8120213,,neo1,Y
JMC,A 664 BFG,2015,JMC,Bakkie,LETEDCD17CHP50885,C8120213,,pueco_lesotho,Y
JMC,A 664 BFG,2015,JMC,Bakkie,LETEDCD17CHP50885,C8120213,,smp,Y
X2,D 892 BBT,2004,Nissan ,Xtrail,JN1TBNT30Z0026288,QR25792516A,1PWR LESOTHO,1pwr_lesotho,Y
X2,D 892 BBT,2004,Nissan ,Xtrail,JN1TBNT30Z0026288,QR25792516A,,neo1,Y
X2,D 892 BBT,2004,Nissan ,Xtrail,JN1TBNT30Z0026288,QR25792516A,,pueco_lesotho,Y
X2,D 892 BBT,2004,Nissan ,Xtrail,JN1TBNT30Z0026288,QR25792516A,,smp,Y
